pl_name,st_rad,pl_rade,pl_orbsmax
"Kepler-984 b",1.341000,3.01000000,0.2364000000
"LHS 1678 c",0.329000,0.98200000,0.0331000000
"Kepler-169 f",0.760000,2.95000000,0.3579000000
"Kepler-266 b",1.294000,2.98000000,0.0678000000
"Kepler-293 c",0.941000,3.81000000,0.2838000000
"Kepler-242 c",0.710000,1.60000000,0.1040000000
"Kepler-966 b",1.180000,4.70000000,0.4040000000
"Kepler-552 b",1.000000,3.50000000,0.0600000000
"Kepler-1906 b",0.894000,1.86000000,0.0738000000
"Kepler-1137 b",1.785000,2.23000000,0.1847000000
"Kepler-1562 b",1.378000,4.72000000,0.3337000000
"Kepler-961 b",0.872000,2.54000000,0.1245000000
"Kepler-549 b",0.856000,2.66000000,0.2264000000
"Kepler-42 b",0.170000,0.78000000,0.0116000000
"Kepler-1951 b",0.900000,0.88000000,0.1359000000
"Kepler-1689 b",0.971000,0.81500000,0.0784000000
"Kepler-1255 b",0.960000,2.02000000,0.2171000000
"Kepler-284 b",0.814000,2.24000000,0.1040000000
"Kepler-750 c",1.860000,2.36000000,0.0533000000
"Kepler-243 b",0.811000,2.48000000,0.0609000000
"Kepler-1377 b",0.874000,1.32000000,0.0153000000
"Kepler-1157 b",0.610000,0.89000000,0.0460000000
"Kepler-1555 b",1.009000,1.55000000,0.0810000000
"Kepler-681 b",0.775000,3.16000000,0.1642000000
"Kepler-267 b",0.527000,2.00000000,0.0360000000
"Kepler-487 d",0.870000,2.79000000,0.0341000000
"Kepler-1978 b",0.779000,3.17000000,0.0915000000
"Kepler-215 c",1.070000,1.57000000,0.1160000000
"Kepler-142 c",1.243000,2.78000000,0.0542000000
"Kepler-743 b",0.845000,1.22000000,0.0418000000
"Kepler-42 d",0.170000,0.57000000,0.0154000000
"Kepler-202 b",0.720000,1.91000000,0.0455000000
"Kepler-157 c",1.044000,2.24000000,0.1100000000
"Kepler-260 c",0.849000,1.75000000,0.3290000000
"Kepler-1112 b",1.290000,2.55000000,0.1273000000
"Kepler-1587 b",1.268000,1.32000000,0.0878000000
"Kepler-689 b",0.751000,2.45000000,0.1448000000
"Kepler-210 b",0.650000,2.94000000,0.0320000000
"Kepler-1578 b",1.023000,1.24000000,0.0252000000
"Kepler-207 d",1.100000,2.50000000,0.0650000000
"Kepler-1011 b",0.929000,3.05000000,0.0633000000
"Kepler-164 c",1.139000,2.69000000,0.0991000000
"Kepler-1633 b",4.912000,6.71000000,0.3875000000
"Kepler-270 c",1.300000,1.50000000,0.1768000000
"Kepler-151 b",0.818000,2.98000000,0.1149000000
"Kepler-1364 b",1.440000,1.70000000,0.1220000000
"TIC 139270665 b",1.016000,7.22979255,0.1630000000
"Kepler-332 b",0.688000,1.15800000,0.0686900000
"Kepler-289 b",1.162000,2.43000000,0.2120000000
"K2-3 c",0.553000,1.64400000,0.1405000000
"XO-1 b",0.934000,13.51805400,0.0493000000
"Kepler-740 b",0.922000,4.87000000,0.0462000000
"Kepler-411 d",0.768000,3.51000000,0.2757000000
"Kepler-1353 b",0.804000,2.03000000,0.1530000000
"Kepler-353 b",0.523000,1.08000000,0.0515000000
"Kepler-1136 b",0.651000,1.54000000,0.0299000000
"Kepler-294 c",0.940000,2.80000000,0.0698000000
"Kepler-257 c",0.801000,3.93200000,0.0667700000
"Kepler-1750 b",0.897000,4.83000000,0.6469000000
"Kepler-323 c",1.120000,1.57000000,0.0458000000
"HD 77946 b",1.317400,2.89646124,0.0730000000
"WASP-2 b",0.866000,12.11692900,0.0314400000
"Kepler-817 b",0.913000,8.02000000,0.0493000000
"Kepler-84 c",1.022000,2.94000000,0.1078000000
"Kepler-610 b",0.893000,3.28000000,0.0719000000
"K2-10 b",1.080000,4.37000000,0.1370000000
"Kepler-1838 b",1.430000,1.43000000,0.1060000000
"Kepler-1982 b",1.491000,1.04000000,0.0523000000
"K2-318 b",0.552000,1.66000000,0.0911000000
"Kepler-995 b",0.886000,2.93000000,0.1701000000
"Kepler-1544 b",0.761000,1.83000000,0.5400000000
"Kepler-487 c",0.870000,2.62000000,0.2164000000
"Kepler-532 b",0.806000,2.62000000,0.0986000000
"Kepler-578 b",1.066000,2.54000000,0.0258000000
"Kepler-723 b",0.797000,10.85000000,0.0477000000
"Kepler-909 b",1.207000,1.66000000,0.1175000000
"Kepler-1980 b",0.830000,1.96000000,0.1948000000
"Kepler-1520 b",0.660000,5.32000000,0.0129000000
"Kepler-1019 b",0.625000,1.36000000,0.0209000000
"Kepler-443 b",0.697000,2.06900000,0.5625400000
"Kepler-223 e",1.003000,31.46000000,0.1381000000
"Kepler-106 d",1.029000,0.99000000,0.1597000000
"TOI-5800 b",0.773000,2.46000000,0.0344000000
"WASP-60 b",1.140000,9.64000000,0.0531000000
"Kepler-194 b",1.005000,1.48000000,0.0316000000
"KOI-142 b",0.997000,3.78000000,0.0980000000
"Kepler-618 b",1.011000,2.39000000,0.0468000000
